new_line_id,epe_line_id,voltage_V,length_km
362,ml_line_362,345000.0,4.70533109
363,ml_line_363,345000.0,13.34787125
364,ml_line_364,230000.0,3.00900491
365,ml_line_365,230000.0,7.45878766
366,ml_line_366,230000.0,2.23558567
367,ml_line_367,230000.0,5.28915789
368,ml_line_368,230000.0,0.72094603
369,ml_line_369,500000.0,0.70344399
370,ml_line_370,230000.0,200.7774677
371,ml_line_371,230000.0,4.18599244
372,ml_line_372,230000.0,16.25999908
373,ml_line_373,500000.0,41.23035988
374,ml_line_374,500000.0,240.76128852
375,ml_line_375,500000.0,213.3698792
376,ml_line_376,230000.0,1.81897555
377,ml_line_377,230000.0,1.545335
378,ml_line_378,230000.0,14.76318176
379,ml_line_379,440000.0,220.70125643
380,ml_line_380,230000.0,21.2951618
381,ml_line_381,230000.0,0.40829034
382,ml_line_382,230000.0,12.21852678
383,ml_line_383,230000.0,2.96331342
384,ml_line_384,500000.0,174.86690215
385,ml_line_385,230000.0,141.25835971
386,ml_line_386,500000.0,40.05515607
387,ml_line_387,230000.0,31.44242752
388,ml_line_388,345000.0,75.41420868
389,ml_line_389,230000.0,15.12508189
390,ml_line_390,345000.0,107.95993481
391,ml_line_391,765000.0,265.19375842
392,ml_line_392,230000.0,22.19116295
393,ml_line_393,230000.0,47.72775202
394,ml_line_394,230000.0,208.82945869
395,ml_line_395,230000.0,105.03895919
396,ml_line_396,230000.0,29.25347055
397,ml_line_397,525000.0,10.67039808
398,ml_line_398,345000.0,113.49978006
399,ml_line_399,230000.0,267.91944355
400,ml_line_400,230000.0,14.82116967
401,ml_line_401,230000.0,35.18327323
402,ml_line_402,345000.0,13.75774025
403,ml_line_403,500000.0,57.2350513
404,ml_line_404,230000.0,24.79947406
405,ml_line_405,500000.0,1.50890134
406,ml_line_406,500000.0,174.81212321
407,ml_line_407,230000.0,66.86716216
408,ml_line_408,500000.0,170.91518993
409,ml_line_409,230000.0,108.01271802
410,ml_line_410,500000.0,74.32496513
411,ml_line_411,230000.0,49.09718148
412,ml_line_412,230000.0,4.54619562
413,ml_line_413,230000.0,68.18035701
414,ml_line_414,500000.0,297.5867953
415,ml_line_415,230000.0,81.13440942
416,ml_line_416,230000.0,155.31563944
417,ml_line_417,230000.0,0.28067566
418,ml_line_418,230000.0,96.934357
419,ml_line_419,230000.0,198.93646804
420,ml_line_420,525000.0,0.59372673
421,ml_line_421,500000.0,343.90606704
422,ml_line_422,345000.0,5.33564854
423,ml_line_423,230000.0,135.16839322
424,ml_line_424,230000.0,93.6002177
425,ml_line_425,230000.0,30.48981944
426,ml_line_426,230000.0,129.77204855
427,ml_line_427,230000.0,41.58303253
428,ml_line_428,230000.0,35.08093471
429,ml_line_429,230000.0,9.73470316
430,ml_line_430,230000.0,29.91140441
431,ml_line_431,230000.0,17.15894639
432,ml_line_432,500000.0,356.01282669
433,ml_line_433,230000.0,116.02139786
434,ml_line_434,500000.0,181.42547585
435,ml_line_435,230000.0,123.12441019
436,ml_line_436,230000.0,40.33168241
437,ml_line_437,440000.0,116.6812553
438,ml_line_438,230000.0,104.2119545
439,ml_line_439,440000.0,108.21935166
440,ml_line_440,500000.0,175.79278275
441,ml_line_441,230000.0,187.59268142
442,ml_line_442,230000.0,12.65073485
443,ml_line_443,500000.0,119.38772178
444,ml_line_444,500000.0,23.99051834
445,ml_line_445,230000.0,10.20511946
446,ml_line_446,230000.0,31.00414904
447,ml_line_447,230000.0,22.49436207
448,ml_line_448,230000.0,34.85750218
449,ml_line_449,345000.0,77.04885889
450,ml_line_450,500000.0,242.46289726
451,ml_line_451,500000.0,0.955975
452,ml_line_452,500000.0,40.23923445
453,ml_line_453,230000.0,8.83448314
454,ml_line_454,230000.0,76.12281025
455,ml_line_455,345000.0,57.02724077
456,ml_line_456,500000.0,255.85932807
457,ml_line_457,230000.0,44.48662416
458,ml_line_458,230000.0,106.62858965
459,ml_line_459,230000.0,8.65769132
460,ml_line_460,345000.0,96.70688431
461,ml_line_461,230000.0,5.45319363
462,ml_line_462,500000.0,34.26733442
463,ml_line_463,230000.0,14.04302843
464,ml_line_464,440000.0,46.8462757
465,ml_line_465,230000.0,58.68897714
466,ml_line_466,230000.0,171.52319288
467,ml_line_467,230000.0,25.96783598
468,ml_line_468,230000.0,1.39303801
469,ml_line_469,230000.0,85.46718328
470,ml_line_470,500000.0,206.72610987
471,ml_line_471,525000.0,256.20295263
472,ml_line_472,230000.0,19.95021363
473,ml_line_473,440000.0,80.90665484
474,ml_line_474,500000.0,353.27709556
475,ml_line_475,500000.0,13.72168338
476,ml_line_476,230000.0,107.94157093
477,ml_line_477,230000.0,211.09977841
478,ml_line_478,345000.0,4.05713848
479,ml_line_479,500000.0,6.07374957
480,ml_line_480,230000.0,0.16373488
481,ml_line_481,500000.0,297.29998306
482,ml_line_482,500000.0,243.0672043
483,ml_line_483,230000.0,52.04814146
484,ml_line_484,765000.0,303.97494226
485,ml_line_485,500000.0,199.27676779
486,ml_line_486,230000.0,203.85588043
487,ml_line_487,230000.0,0.7335138
488,ml_line_488,230000.0,1.69651879
489,ml_line_489,230000.0,11.29854555
490,ml_line_490,500000.0,2.13057924
491,ml_line_491,500000.0,32.34214149
492,ml_line_492,230000.0,19.95223421
493,ml_line_493,230000.0,130.36515371
494,ml_line_494,230000.0,103.96914339
495,ml_line_495,525000.0,0.76263709
496,ml_line_496,230000.0,50.26519777
497,ml_line_497,230000.0,150.61473975
498,ml_line_498,500000.0,367.86204024
499,ml_line_499,230000.0,154.06827613
500,ml_line_500,230000.0,65.55523487
501,ml_line_501,345000.0,66.5549597
502,ml_line_502,230000.0,66.2131047
503,ml_line_503,230000.0,0.56116807
504,ml_line_504,230000.0,5.79590098
505,ml_line_505,230000.0,0.51439754
506,ml_line_506,500000.0,334.74280047
507,ml_line_507,440000.0,211.2145003
508,ml_line_508,230000.0,436.16732116
509,ml_line_509,230000.0,170.14116676
510,ml_line_510,230000.0,81.90270056
511,ml_line_511,230000.0,72.46530819
512,ml_line_512,500000.0,8.09398112
513,ml_line_513,230000.0,23.9172967
514,ml_line_514,500000.0,249.70265369
515,ml_line_515,230000.0,86.01034536
516,ml_line_516,230000.0,43.70259602
517,ml_line_517,525000.0,187.70045311
518,ml_line_518,230000.0,8.09761506
